timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
13984543,0.20380805,0.001128012,-0.010157513,0.97895753,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14036543,0.20378177,0.0014201829,-0.008166649,0.97898126,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14088554,0.20665133,0.0009006388,-0.0064482344,0.978393,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14144547,0.20440386,0.000795072,-0.0074934773,0.97885764,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14196546,0.20490754,0.0006037079,-0.008004439,0.9787485,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14248554,0.20447583,0.0006317362,-0.009100077,0.97882915,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14300543,0.20174456,0.0011720215,-0.0096897,0.9793896,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14352543,0.2002598,0.0020766684,-0.009868631,0.97969097,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14404543,0.19520348,0.0015934304,-0.010005222,0.9807105,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14456555,0.19262831,0.001722058,-0.008507625,0.9812335,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14508543,0.19608088,0.00070626405,-0.0047727386,0.98057586,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14560551,0.19505616,0.00042028003,-0.005396734,0.9807772,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14612543,0.19462645,0.000932581,-0.008617634,0.98083913,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14665354,0.19752896,0.0015876077,-0.009377777,0.9802509,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14717343,0.19519372,0.00097549614,-0.00866105,0.980726,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14770143,0.19735113,0.00077397993,-0.0071325838,0.9803066,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14822145,0.19714911,0.0004916649,-0.0067655463,0.98035,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14874178,0.19590779,0.0005116217,-0.007840788,0.9805909,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14926143,0.19545041,0.0010378656,-0.006562672,0.98069113,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
14978165,0.19837654,0.0010060231,-0.0061829626,0.98010594,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15030150,0.19727404,0.0006465337,-0.0071247364,0.98032236,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15082143,0.2020399,-0.00010518117,-0.007915549,0.9793454,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15134147,0.20208964,0.00016445392,-0.009468024,0.9793213,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15186143,0.19927725,0.0005994969,-0.010200041,0.9798899,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15238143,0.20062254,0.0014002796,-0.008016447,0.9796348,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15290152,0.2027334,0.0013375272,-0.005249813,0.97921896,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15342146,0.20410758,0.0011173704,-0.0048175068,0.97893596,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15394151,0.20408666,0.0012081105,-0.00715023,0.97892606,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15446143,0.20810983,0.0011514634,-0.007415863,0.9780767,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
15498146,0.20935215,0.0013524018,-0.0075625135,0.97781014,0.9999991,1.3382627e-09,-2.2368347e-10,0.0013346693,2
