timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
6695900,0.0,0.0,0.0,0.0
6899886,0.0,0.0,0.0,0.0
7100689,0.0,0.0,0.0,0.0
7300690,0.0,0.0,0.0,0.0
7500681,0.0,0.0,0.0,0.0
7704688,0.0,0.0,0.0,0.0
7908676,0.0,0.0,0.0,0.0
8109479,0.0,0.0,0.0,0.0
8310273,0.0,0.0,0.0,0.0
8512677,0.0,0.0,0.0,0.0
8713488,0.0,0.0,0.0,0.0
8915097,0.0,0.0,0.0,0.0
9118273,0.0,0.0,0.0,0.0
9319084,0.0,0.0,0.0,0.0
9519884,0.0,0.0,0.0,0.0
9723879,0.0,0.0,0.0,0.0
9927901,0.0,0.0,0.0,0.0
10127881,0.0,0.0,0.0,0.0
10329508,0.0,0.0,0.0,0.0
10532690,0.0,0.0,0.0,0.0
10732665,0.0,0.0,0.0,0.0
10934295,0.0,0.0,0.0,0.0
11137628,0.0,0.0,0.0,0.0
11340689,0.0,0.0,0.0,0.0
11540698,0.0,0.0,0.0,0.0
11743081,0.0,0.0,0.0,0.0
11947079,0.0,0.0,0.0,0.0
12150277,0.0,0.0,0.0,0.0
12351878,0.0,0.0,0.0,0.0
12555088,0.0,0.0,0.0,0.0
12756713,0.0,0.0,0.0,0.0
12956684,0.0,0.0,0.0,0.0
13160718,0.0,0.0,0.0,0.0
13365528,0.0,0.0,0.0,0.0
13567108,0.0,0.0,0.0,0.0
13769476,0.0,0.0,0.0,0.0
13974284,0.0,0.0,0.0,0.0
14175884,0.0,0.0,0.0,0.0
14379106,0.0,0.0,0.0,0.0
14582274,0.0,0.0,0.0,0.0
14783889,0.0,0.0,0.0,0.0
14987864,0.0,0.0,0.0,0.0
15191078,0.0,0.0,0.0,0.0
15392853,0.0,0.0,0.0,0.0
15596841,0.0,0.0,0.0,0.0
15801530,0.0,0.0,0.0,0.0
16003096,0.0,0.0,0.0,0.0
16205528,0.0,0.0,0.0,0.0
16408679,0.0,0.0,0.0,0.0
16609465,0.0,0.0,0.0,0.0
16809500,0.0,0.0,0.0,0.0
17011116,0.0,0.0,0.0,0.0
17213481,0.0,0.0,0.0,0.0
17414305,0.0,0.0,0.0,0.0
17615889,0.0,0.0,0.0,0.0
17819079,0.0,0.0,0.0,0.0
18019878,0.0,0.0,0.0,0.0
18220706,0.0,0.0,0.0,0.0
18420686,0.0,0.0,0.0,0.0
18624687,0.0,0.0,0.0,0.0
18828676,0.0,0.0,0.0,0.0
19029480,0.0,0.0,0.0,0.0
19230350,0.0,0.0,0.0,0.0
19432682,0.0,0.0,0.0,0.0
19633488,0.0,0.0,0.0,0.0
19835103,0.0,0.0,0.0,0.0
20039083,0.0,0.0,0.0,0.0
