timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
6713350,0.0,0.0,0.0,-0.006522392,0.0023154789,-0.1824646,0.0,0.0,0.0,0.001989603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2822257,0.2822258,4.200591,0.0,0.0,0.0,0.09374881,0.0,0.0,0.0,0.0,0.0,0.0034787713,0.030891554,0.035752635,0.0,0.0,0.0,0.0,0.0,0.0
6913346,0.0,0.0,0.0,-0.0039819805,-0.0009085344,-0.15119934,0.0,0.0,0.0,0.010971785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28339523,0.28339505,4.1952233,0.0,0.0,0.0,0.093637295,0.0,0.0,0.0,0.0,0.0,0.0041571194,0.032366484,0.031521045,0.0,0.0,0.0,0.0,0.0,0.0
7114146,0.0,0.0,0.0,-0.004470145,-0.007436841,-0.34552002,0.0,0.0,0.0,0.01330924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28463352,0.28463387,4.191338,0.0,0.0,0.0,0.093525775,0.0,0.0,0.0,0.0,0.0,0.0035370355,0.036525924,0.037200857,0.0,0.0,0.0,0.0,0.0,0.0
7322146,0.0,0.0,0.0,-0.0024583598,0.0009986756,-0.02633667,0.0,0.0,0.0,-0.017804384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28510895,0.2851088,4.187521,0.0,0.0,0.0,0.09333619,0.0,0.0,0.0,0.0,0.0,0.004108288,0.021980684,0.018748054,0.0,0.0,0.0,0.0,0.0,0.0
7522954,0.0,0.0,0.0,-0.005043319,-0.0036825868,0.08912659,0.0,0.0,0.0,-0.012358189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28237534,0.28237602,4.1781807,0.0,0.0,0.0,0.09314709,0.0,0.0,0.0,0.0,0.0,0.0041935253,0.020510398,0.016555116,0.0,0.0,0.0,0.0,0.0,0.0
7722946,0.0,0.0,0.0,0.009230205,0.0030049498,0.14399719,0.0,0.0,0.0,-0.03775096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2812105,0.28120944,4.1718655,0.0,0.0,0.0,0.09299166,0.0,0.0,0.0,0.0,0.0,0.001957438,0.04873132,0.07147416,0.0,0.0,0.0,0.0,0.0,0.0
7930960,0.0,0.0,0.0,0.016146671,0.0021799803,0.23838806,0.0,0.0,0.0,-0.010083437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28021,0.28020886,4.1661177,0.0,0.0,0.0,0.09277888,0.0,0.0,0.0,0.0,0.0,0.005040305,0.048846737,0.067343265,0.0,0.0,0.0,0.0,0.0,0.0
8131780,0.0,0.0,0.0,0.013428894,0.0015916749,0.06668091,0.0,0.0,0.0,-0.0062174797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27800515,0.2780044,4.158504,0.0,0.0,0.0,0.0926414,0.0,0.0,0.0,0.0,0.0,0.007513663,0.047924682,0.0394318,0.0,0.0,0.0,0.0,0.0,0.0
8331745,0.0,0.0,0.0,0.010781293,0.0040765177,0.020019531,0.0,0.0,0.0,0.012238026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27750993,0.27750948,4.1549854,0.0,0.0,0.0,0.0924917,0.0,0.0,0.0,0.0,0.0,0.006024097,0.047249753,0.04033155,0.0,0.0,0.0,0.0,0.0,0.0
8539743,0.0,0.0,0.0,0.004843256,0.0054610507,-0.08924866,0.0,0.0,0.0,0.007879734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2769354,0.27693534,4.152189,0.0,0.0,0.0,0.0923461,0.0,0.0,0.0,0.0,0.0,0.0035954155,0.038067427,0.045651965,0.0,0.0,0.0,0.0,0.0,0.0
