timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
11821545,0.05927522,0.05107591,-3.4906585,0.0,0.0,0.0
11845584,0.07443049,0.054123573,-3.4906585,0.0,0.0,0.0
11865713,0.0878591,0.061253693,-3.4906585,0.0,0.0,0.0
11890346,0.10966158,0.08591965,-3.4906585,0.0,0.0,0.0
11910358,0.12772904,0.10909248,-3.4906585,0.0,0.0,0.0
11930353,0.13671552,0.12070591,-3.4906585,0.0,0.0,0.0
11954382,0.1438255,0.123370886,-3.4906585,0.0,0.0,0.0
11978349,0.16284281,0.13440454,-3.4906585,0.0,0.0,0.0
12002350,0.15384947,0.12737525,-3.4906585,0.0,0.0,0.0
12022361,0.1278272,0.10714783,-3.4906585,0.0,0.0,0.0
12042390,0.11988664,0.09893716,-3.4906585,0.0,0.0,0.0
12066357,0.11472844,0.08142466,-3.4906585,0.0,0.0,0.0
12090353,0.08859512,0.059607968,-3.4906585,0.0,0.0,0.0
12115300,0.08282827,0.054943003,-3.4906585,0.0,0.0,0.0
12138344,0.08665872,0.061492532,-3.4906585,0.0,0.0,0.0
12163152,0.08409594,0.06610512,-3.4906585,0.0,0.0,0.0
12183149,0.07646023,0.07405381,-3.4906585,0.0,0.0,0.0
12202372,0.06906845,0.06850165,-3.4906585,0.0,0.0,0.0
12226374,0.06694059,0.060743745,-3.4906585,0.0,0.0,0.0
12247175,0.07461847,0.068297595,-3.4906585,0.0,0.0,0.0
12266355,0.08456574,0.07909709,-3.4906585,0.0,0.0,0.0
12286351,0.08689229,0.08650365,-3.4906585,0.0,0.0,0.0
12314356,0.09996029,0.08849704,-3.4906585,0.0,0.0,0.0
12338358,0.10106056,0.088678025,-3.4906585,0.0,0.0,0.0
12362350,0.09105222,0.083876625,-3.4906585,0.0,0.0,0.0
12386343,0.08844757,0.085451566,-3.4906585,0.0,0.0,0.0
12406385,0.09065015,0.08601629,-3.4906585,0.0,0.0,0.0
12426354,0.08749948,0.08503501,-3.4906585,0.0,0.0,0.0
12450348,0.08227363,0.09344086,-3.4906585,0.0,0.0,0.0
12471165,0.08240278,0.09810093,-3.4906585,0.0,0.0,0.0
12491164,0.08054344,0.093353,-3.4906585,0.0,0.0,0.0
12511147,0.07277525,0.0860424,-3.4906585,0.0,0.0,0.0
12531193,0.066103145,0.078077056,-3.4906585,0.0,0.0,0.0
12555156,0.051883925,0.06525732,-3.4906585,0.0,0.0,0.0
12575156,0.03966915,0.05163045,-3.4906585,0.0,0.0,0.0
12595947,0.03625656,0.043626264,-3.4906585,0.0,0.0,0.0
12619145,0.041660603,0.053821348,-3.4906585,0.0,0.0,0.0
12643171,0.050461516,0.070315175,-3.4906585,0.0,0.0,0.0
12667147,0.06813998,0.09941073,-3.4906585,0.0,0.0,0.0
12687314,0.07815689,0.11747242,-3.4906585,0.0,0.0,0.0
12707192,0.08400287,0.12449219,-3.4906585,0.0,0.0,0.0
12731149,0.080784366,0.12487375,-3.4906585,0.0,0.0,0.0
12755161,0.07367874,0.12657923,-3.4906585,0.0,0.0,0.0
12779173,0.07321006,0.12619498,-3.4906585,0.0,0.0,0.0
12803145,0.07902068,0.115257405,-3.4906585,0.0,0.0,0.0
12827140,0.06905668,0.10612633,-3.4906585,0.0,0.0,0.0
12847142,0.06531636,0.09947975,-3.4906585,0.0,0.0,0.0
12871175,0.04549171,0.081895046,-3.4906585,0.0,0.0,0.0
12892096,0.028761141,0.06901215,-3.4906585,0.0,0.0,0.0
12911961,0.025644839,0.066660665,-3.4906585,0.0,0.0,0.0
12931938,0.028885264,0.064518094,-3.4906585,0.0,0.0,0.0
12952747,0.032975312,0.07839517,-3.4906585,0.0,0.0,0.0
12975988,0.035090707,0.09688943,-3.4906585,0.0,0.0,0.0
12996760,0.028326372,0.10630151,-3.4906585,0.0,0.0,0.0
13020009,0.04673184,0.12108402,-3.4906585,0.0,0.0,0.0
13039960,0.068397775,0.12737857,-3.4906585,0.0,0.0,0.0
13059984,0.0761669,0.12467781,-3.4906585,0.0,0.0,0.0
13083959,0.08674814,0.12155002,-3.4906585,0.0,0.0,0.0
13107943,0.081443064,0.11500054,-3.4906585,0.0,0.0,0.0
13127937,0.08277828,0.11099128,-3.4906585,0.0,0.0,0.0
13147959,0.093536675,0.11530643,-3.4906585,0.0,0.0,0.0
13171945,0.084530115,0.11710569,-3.4906585,0.0,0.0,0.0
13195961,0.083531074,0.12499112,-3.4906585,0.0,0.0,0.0
13219957,0.083443545,0.13665816,-3.4906585,0.0,0.0,0.0
13243949,0.073747985,0.12543456,-3.4906585,0.0,0.0,0.0
13264793,0.068122156,0.11723066,-3.4906585,0.0,0.0,0.0
13283962,0.051712573,0.11282604,-3.4906585,0.0,0.0,0.0
13308752,0.037182692,0.09729105,-3.4906585,0.0,0.0,0.0
13328874,0.036502253,0.087819204,-3.4906585,0.0,0.0,0.0
13348775,0.03820432,0.08472711,-3.4906585,0.0,0.0,0.0
13371943,0.039565943,0.08250638,-3.4906585,0.0,0.0,0.0
13395980,0.04968366,0.08343233,-3.4906585,0.0,0.0,0.0
13419955,0.070426896,0.09433142,-3.4906585,0.0,0.0,0.0
13443948,0.07953449,0.10406943,-3.4906585,0.0,0.0,0.0
13465543,0.079992905,0.10540834,-3.4906585,0.0,0.0,0.0
13484742,0.08781323,0.11156677,-3.4906585,0.0,0.0,0.0
13508910,0.092272244,0.11199851,-3.4906585,0.0,0.0,0.0
13532751,0.08068576,0.099980846,-3.4906585,0.0,0.0,0.0
13556758,0.06315765,0.08737253,-3.4906585,0.0,0.0,0.0
13576748,0.05695098,0.0784545,-3.4906585,0.0,0.0,0.0
13596742,0.053849183,0.07436612,-3.4906585,0.0,0.0,0.0
