timestamp,load,ram_usage
6060295,0.98489684,0.7894522
7055694,0.979932,0.7887726
8055356,0.9723927,0.7912872
9055371,0.9537277,0.7912872
10056222,0.9323564,0.7912872
11055220,0.9189098,0.7912872
12055427,0.9420176,0.79611254
13056520,0.9417487,0.79699606
14055663,0.90726346,0.7972679
15056981,0.9020915,0.7972679
16057723,0.9019882,0.7972679
17055465,0.89660317,0.7965883
18056137,0.8842451,0.7991029
19056879,0.8811667,0.7991029
20055552,0.8685528,0.7991029
21057295,0.86292267,0.7991029
22055272,0.86040527,0.79699606
23055419,0.8590878,0.79699606
24055222,0.8610215,0.7972679
25055346,0.8600046,0.7972679
26056099,0.85964954,0.7972679
27058002,0.8580898,0.7965883
28055363,0.8560444,0.7991029
29055668,0.85828006,0.7991029
30056967,0.8572318,0.7991029
31056165,0.85967696,0.7991029
32057296,0.8559355,0.79699606
33055422,0.8566781,0.79699606
34055371,0.8587477,0.7972679
35056417,0.8586727,0.7972679
36055545,0.8618586,0.79862714
37055520,0.85817266,0.8021612
38057046,0.8584705,0.8021612
39056308,0.85885084,0.8021612
40056922,0.8590074,0.8021612
41055386,0.8589734,0.8021612
42055423,0.8598244,0.8021612
43056430,0.8570498,0.8021612
44055208,0.86073065,0.8021612
45055454,0.8572881,0.8021612
46056334,0.8586696,0.8021612
47055418,0.85729647,0.8021612
48056885,0.8572326,0.8021612
49058088,0.8595037,0.8021612
50055327,0.8572871,0.8021612
51056196,0.8599329,0.8021612
52055386,0.85913104,0.8021612
53055618,0.8568452,0.8021612
54057692,0.859293,0.8021612
55055321,0.8565247,0.8021612
56055454,0.85735667,0.8021612
57055709,0.85849696,0.8021612
58055318,0.8586468,0.8021612
59055568,0.8586743,0.8021612
60056898,0.8564527,0.8021612
61055663,0.8617793,0.8021612
62055530,0.8572524,0.8021612
63055245,0.8570443,0.8021612
64056937,0.8588798,0.8021612
65057180,0.8584244,0.8021612
66055308,0.8586335,0.8021612
67055434,0.8564732,0.8021612
68056281,0.85610056,0.8021612
69055531,0.8585346,0.8021612
70056414,0.85565245,0.8021612
71057188,0.8567811,0.8021612
72055414,0.8552577,0.8021612
73055474,0.8580696,0.8021612
74055222,0.85870445,0.8021612
75056623,0.8562058,0.8021612
76058407,0.8580009,0.8021612
77055370,0.8561268,0.8021612
78055289,0.8554163,0.8021612
79056857,0.8570924,0.8021612
80056265,0.85719675,0.8021612
81057057,0.8554435,0.8021612
82057147,0.8573941,0.8021612
83056392,0.85538507,0.8021612
84057050,0.8603127,0.8021612
85055246,0.85607547,0.8021612
86055414,0.8591572,0.8021612
87056248,0.8569052,0.8021612
88055335,0.85763204,0.8021612
89056928,0.8572466,0.8021612
90055493,0.8559237,0.8021612
91055383,0.8586249,0.8021612
92055698,0.85558575,0.8021612
93056963,0.8571306,0.8021612
94055528,0.85771114,0.8021612
95056309,0.8549587,0.8021612
96055398,0.85857445,0.8021612
97055417,0.85408187,0.8021612
98056345,0.85720235,0.8021612
99055337,0.85731316,0.8021612
100056010,0.8579465,0.8021612
101057185,0.85827136,0.8021612
102055223,0.8561246,0.8021612
103055634,0.85697764,0.8021612
104056430,0.8583519,0.8021612
105055444,0.85727555,0.8021612
106057019,0.8567399,0.8021612
107055351,0.8562108,0.8021612
108055436,0.857831,0.8021612
109056392,0.85828376,0.8021612
110055373,0.85734046,0.8021612
111056801,0.8565374,0.8021612
112057869,0.85724,0.8021612
113055229,0.8573682,0.8021612
114055401,0.85604644,0.8021612
115056384,0.8569809,0.8021612
116055639,0.857617,0.8021612
117056431,0.8571831,0.8021612
118055430,0.85830003,0.8021612
119055382,0.8557341,0.8021612
120056261,0.857991,0.8021612
121055303,0.85776144,0.8021612
122056462,0.8579352,0.8021612
123056486,0.8593637,0.8021612
124055536,0.8559864,0.8021612
125055436,0.85602224,0.8021612
126055362,0.8560693,0.8021612
127056056,0.85720885,0.8021612
128058420,0.8581133,0.8021612
129055497,0.8571631,0.8021612
130056311,0.8577932,0.8021612
131056384,0.8602484,0.8021612
132055296,0.85542583,0.8021612
133056131,0.8577932,0.8021612
134056961,0.859033,0.8021612
135055301,0.85772187,0.8021612
136055410,0.85848427,0.8021612
137056221,0.85601425,0.8021612
138056191,0.85867935,0.8021612
139056463,0.8573055,0.8021612
140055445,0.85777104,0.8021612
141055712,0.8592497,0.8021612
142056083,0.859942,0.8021612
143055295,0.85731834,0.8021612
144055503,0.85685194,0.8021612
145057186,0.8572729,0.8021612
146055377,0.85821354,0.8021612
147056437,0.8552573,0.8021612
148055479,0.86025435,0.8021612
149055227,0.8408877,0.8021612
150056500,0.8172355,0.8021612
151057305,0.8111929,0.8021612
