timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
6695896,6695768,-0.016440758,-0.006786642,-0.0020289605,0.0,0.0,0.0,0.0,0.0
6799084,6798959,0.008850718,-0.017887423,-0.010119126,0.0,0.0,0.0,0.0,0.0
6899877,6899751,-0.0058260234,-0.017464615,0.010439391,0.0,0.0,0.0,0.0,0.0
6999888,6999759,0.015341131,-0.017396765,0.008826724,0.0,0.0,0.0,0.0,0.0
7100685,7100546,0.0032872774,-0.0016866201,0.006519988,0.0,0.0,0.0,0.0,0.0
7203876,7203744,-0.014985774,0.0010504387,0.008365969,0.0,0.0,0.0,0.0,0.0
7304840,7304546,0.003587232,0.005478418,0.006854298,0.0,0.0,0.0,0.0,0.0
7407875,7407746,0.030955922,-0.0011203983,0.018580334,0.0,0.0,0.0,0.0,0.0
7508682,7508544,0.01571409,-0.012106246,0.012079977,0.0,0.0,0.0,0.0,0.0
7608682,7608551,-0.021422647,-0.00460396,0.012470552,0.0,0.0,0.0,0.0,0.0
7711867,7711744,0.015975894,-0.0063698394,0.009354889,0.0,0.0,0.0,0.0,0.0
7813486,7813359,0.0003102133,-0.012206497,0.017223554,0.0,0.0,0.0,0.0,0.0
7913519,7913394,-0.0025663427,0.0141144255,0.014039558,0.0,0.0,0.0,0.0,0.0
8015064,8014945,0.0062854784,-0.0018563734,-0.0011117656,0.0,0.0,0.0,0.0,0.0
8117482,8117351,-0.013629306,-0.0027458244,-0.00046341243,0.0,0.0,0.0,0.0,0.0
8218275,8218143,0.010472167,0.014905683,-2.0670705e-06,0.0,0.0,0.0,0.0,0.0
8320681,8320545,-0.025273304,-0.012376221,0.030830452,0.0,0.0,0.0,0.0,0.0
8422276,8422151,-0.0109635545,-0.004404655,-0.00036322075,0.0,0.0,0.0,0.0,0.0
8522267,8522145,-0.04251915,0.009494998,-0.020637034,0.0,0.0,0.0,0.0,0.0
8624831,8624590,-0.013618408,-0.0077564134,0.007213261,0.0,0.0,0.0,0.0,0.0
8726277,8726146,0.01864883,0.0029681711,-0.02019402,0.0,0.0,0.0,0.0,0.0
8827080,8826946,0.0004392895,-0.0024731848,-0.00907356,0.0,0.0,0.0,0.0,0.0
8929512,8929377,-0.00048119342,-0.003704675,0.019036187,0.0,0.0,0.0,0.0,0.0
9031095,9030963,-0.00024148356,-0.00091102184,0.006773042,0.0,0.0,0.0,0.0,0.0
9134274,9134144,0.004446473,-0.0010549823,-0.005677653,0.0,0.0,0.0,0.0,0.0
9238266,9238144,0.0004059933,-0.004482853,0.0012002011,0.0,0.0,0.0,0.0,0.0
9339083,9338957,0.009820569,-0.010784553,0.006207905,0.0,0.0,0.0,0.0,0.0
9439862,9439747,0.0037035972,-0.010914216,0.019882238,0.0,0.0,0.0,0.0,0.0
9542269,9542144,0.019319674,0.0007231358,0.004179009,0.0,0.0,0.0,0.0,0.0
9643077,9642946,-0.0016530226,-2.0071748e-05,5.103266e-05,0.0,0.0,0.0,0.0,0.0
9743916,9743779,0.011441603,0.0055224975,-0.0018054104,0.0,0.0,0.0,0.0,0.0
9847913,9847778,-0.0034587795,-0.009164222,0.03423539,0.0,0.0,0.0,0.0,0.0
9951062,9950944,0.0034939677,-0.0027347237,0.0017675853,0.0,0.0,0.0,0.0,0.0
10052797,10052601,-0.00035503297,-0.0014083819,-0.00063531223,0.0,0.0,0.0,0.0,0.0
10155077,10154952,0.016627539,0.0006437677,0.00048508277,0.0,0.0,0.0,0.0,0.0
10255876,10255745,-0.012702487,0.0028531975,0.03139982,0.0,0.0,0.0,0.0,0.0
10357637,10357403,0.008299695,0.0063431924,-0.0003165621,0.0,0.0,0.0,0.0,0.0
10459883,10459752,0.012568615,-0.006738932,0.0046173027,0.0,0.0,0.0,0.0,0.0
10560693,10560567,-0.01744725,-0.009245069,0.009634138,0.0,0.0,0.0,0.0,0.0
10661461,10661346,0.0068179625,0.009917037,0.01492584,0.0,0.0,0.0,0.0,0.0
10763126,10762994,-0.010205988,0.0067666396,0.012717828,0.0,0.0,0.0,0.0,0.0
10865465,10865348,0.014716335,-0.010319604,-0.00026990645,0.0,0.0,0.0,0.0,0.0
10966291,10966152,-0.0029250574,-0.0029679602,0.0004857231,0.0,0.0,0.0,0.0,0.0
11067884,11067743,0.0021051127,-0.0055670533,0.02001517,0.0,0.0,0.0,0.0,0.0
11169460,11169344,0.023327423,0.0036685842,0.013781878,0.0,0.0,0.0,0.0,0.0
11270268,11270146,-0.028569039,-0.0014054412,-0.002974968,0.0,0.0,0.0,0.0,0.0
11370266,11370144,-0.0005671587,0.029526226,-0.69889206,-0.0,0.0,0.0,0.0,-1.0
11475065,11474946,0.02430197,-0.0018527452,-0.6856043,-0.0,0.0,0.0,0.0,-1.0
11575071,11574946,-0.0090434905,0.0043295436,-0.6878833,-0.0,0.0,0.0,0.0,-1.0
