timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
6694424,4.5697265,0.0,0,1,0,1,0,0,0
7194568,4.590674,0.0,0,1,0,1,0,0,0
7694514,4.527832,0.0,0,1,0,1,0,0,0
8194480,4.5826173,0.0,0,1,0,1,0,0,0
8694424,4.5213866,0.0,0,1,0,1,0,0,0
9194441,4.5101075,0.0,0,1,0,1,0,0,0
9695718,4.5793943,0.0,0,1,0,1,0,0,0
10194560,4.547168,0.0,0,1,0,1,0,0,0
10694244,4.4956055,0.0,0,1,0,1,0,0,0
11194436,4.601953,0.0,0,1,0,1,0,0,0
11694503,4.6083984,0.0,0,1,0,1,0,0,0
12195411,4.576172,0.0,0,1,0,1,0,0,0
12694497,4.6631837,0.0,0,1,0,1,0,0,0
13204885,4.590674,0.0,0,1,0,1,0,0,0
13704259,4.5713377,0.0,0,1,0,1,0,0,0
14204224,4.6325684,0.0,0,1,0,1,0,0,0
14704225,4.5584474,0.0,0,1,0,1,0,0,0
15204232,4.592285,0.0,0,1,0,1,0,0,0
15704241,4.6680174,0.0,0,1,0,1,0,0,0
16204228,4.542334,0.0,0,1,0,1,0,0,0
16704223,4.5326657,0.0,0,1,0,1,0,0,0
17204237,4.4907713,0.0,0,1,0,1,0,0,0
17704223,4.6051755,0.0,0,1,0,1,0,0,0
18204380,4.46499,0.0,0,1,0,1,0,0,0
18704231,4.524609,0.0,0,1,0,1,0,0,0
19204224,4.4682126,0.0,0,1,0,1,0,0,0
19704224,4.503662,0.0,0,1,0,1,0,0,0
20214505,4.5310545,0.0,0,1,0,1,0,0,0
20714569,4.5358887,0.0,0,1,0,1,0,0,0
21214491,4.4956055,0.0,0,1,0,1,0,0,0
21714256,4.526221,0.0,0,1,0,1,0,0,0
22214394,4.601953,0.0,0,1,0,1,0,0,0
22714462,4.611621,0.0,0,1,0,1,0,0,0
23214597,4.5375,0.0,0,1,0,1,0,0,0
23714579,4.5858397,0.0,0,1,0,1,0,0,0
24214241,4.601953,0.0,0,1,0,1,0,0,0
24724268,4.576172,0.0,0,1,0,1,0,0,0
25224223,4.5310545,0.0,0,1,0,1,0,0,0
25724221,4.576172,0.0,0,1,0,1,0,0,0
26224236,4.5310545,0.0,0,1,0,1,0,0,0
26734460,4.503662,0.0,0,1,0,1,0,0,0
27234232,4.5101075,0.0,0,1,0,1,0,0,0
27734493,4.5407224,0.0,0,1,0,1,0,0,0
28235564,4.518164,0.0,0,1,0,1,0,0,0
28734545,4.4907713,0.0,0,1,0,1,0,0,0
29244523,4.51333,0.0,0,1,0,1,0,0,0
29744224,4.51333,0.0,0,1,0,1,0,0,0
30244222,4.5068846,0.0,0,1,0,1,0,0,0
30744223,4.5375,0.0,0,1,0,1,0,0,0
31244221,4.502051,0.0,0,1,0,1,0,0,0
31744224,4.524609,0.0,0,1,0,1,0,0,0
32244215,4.6083984,0.0,0,1,0,1,0,0,0
32744224,4.5826173,0.0,0,1,0,1,0,0,0
33254549,4.5294433,0.0,0,1,0,1,0,0,0
33754883,4.514941,0.0,0,1,0,1,0,0,0
34254396,4.601953,0.0,0,1,0,1,0,0,0
34754505,4.621289,0.0,0,1,0,1,0,0,0
35254228,4.613232,0.0,0,1,0,1,0,0,0
35754533,4.5342774,0.0,0,1,0,1,0,0,0
36254870,4.5326657,0.0,0,1,0,1,0,0,0
36764223,4.5052733,0.0,0,1,0,1,0,0,0
37264230,4.6051755,0.0,0,1,0,1,0,0,0
37764228,4.4956055,0.0,0,1,0,1,0,0,0
38265996,4.5197754,0.0,0,1,0,1,0,0,0
38764222,4.524609,0.0,0,1,0,1,0,0,0
39264229,4.524609,0.0,0,1,0,1,0,0,0
39765100,4.5117188,0.0,0,1,0,1,0,0,0
40274465,4.5165524,0.0,0,1,0,1,0,0,0
40774240,4.522998,0.0,0,1,0,1,0,0,0
41274491,4.5987306,0.0,0,1,0,1,0,0,0
41774908,4.621289,0.0,0,1,0,1,0,0,0
42284223,4.5503907,0.0,0,1,0,1,0,0,0
42784345,4.621289,0.0,0,1,0,1,0,0,0
43284233,4.6100097,0.0,0,1,0,1,0,0,0
43784227,4.6180663,0.0,0,1,0,1,0,0,0
44284222,4.606787,0.0,0,1,0,1,0,0,0
44794503,4.6180663,0.0,0,1,0,1,0,0,0
45294489,4.5955076,0.0,0,1,0,1,0,0,0
45794475,4.592285,0.0,0,1,0,1,0,0,0
46294221,4.614844,0.0,0,1,0,1,0,0,0
46794543,4.508496,0.0,0,1,0,1,0,0,0
47294716,4.5310545,0.0,0,1,0,1,0,0,0
47794434,4.503662,0.0,0,1,0,1,0,0,0
48304227,4.51333,0.0,0,1,0,1,0,0,0
48804264,4.5407224,0.0,0,1,0,1,0,0,0
49304222,4.5326657,0.0,0,1,0,1,0,0,0
49804223,4.522998,0.0,0,1,0,1,0,0,0
50304223,4.5342774,0.0,0,1,0,1,0,0,0
50805014,4.613232,0.0,0,1,0,1,0,0,0
51314580,4.5375,0.0,0,1,0,1,0,0,0
51814276,4.473047,0.0,0,1,0,1,0,0,0
52314474,4.5745606,0.0,0,1,0,1,0,0,0
52814430,4.527832,0.0,0,1,0,1,0,0,0
53314498,4.6180663,0.0,0,1,0,1,0,0,0
53814549,4.5117188,0.0,0,1,0,1,0,0,0
54314463,4.621289,0.0,0,1,0,1,0,0,0
54824222,4.600342,0.0,0,1,0,1,0,0,0
55324230,4.601953,0.0,0,1,0,1,0,0,0
55824275,4.600342,0.0,0,1,0,1,0,0,0
56324236,4.5987306,0.0,0,1,0,1,0,0,0
56824222,4.5858397,0.0,0,1,0,1,0,0,0
57334256,4.5068846,0.0,0,1,0,1,0,0,0
57834453,4.498828,0.0,0,1,0,1,0,0,0
58334662,4.5342774,0.0,0,1,0,1,0,0,0
58834607,4.518164,0.0,0,1,0,1,0,0,0
59334569,4.5117188,0.0,0,1,0,1,0,0,0
59834242,4.524609,0.0,0,1,0,1,0,0,0
60334441,4.5165524,0.0,0,1,0,1,0,0,0
60835194,4.601953,0.0,0,1,0,1,0,0,0
61344224,4.592285,0.0,0,1,0,1,0,0,0
61844224,4.51333,0.0,0,1,0,1,0,0,0
62344222,4.5101075,0.0,0,1,0,1,0,0,0
62844818,4.5713377,0.0,0,1,0,1,0,0,0
63344222,4.553613,0.0,0,1,0,1,0,0,0
63844222,4.6100097,0.0,0,1,0,1,0,0,0
64344223,4.616455,0.0,0,1,0,1,0,0,0
64844312,4.5197754,0.0,0,1,0,1,0,0,0
65354278,4.5213866,0.0,0,1,0,1,0,0,0
65854469,4.4972167,0.0,0,1,0,1,0,0,0
66354913,4.5439453,0.0,0,1,0,1,0,0,0
66854527,4.524609,0.0,0,1,0,1,0,0,0
67364224,4.552002,0.0,0,1,0,1,0,0,0
67864223,4.518164,0.0,0,1,0,1,0,0,0
68365130,4.5117188,0.0,0,1,0,1,0,0,0
68864224,4.5068846,0.0,0,1,0,1,0,0,0
69364221,4.5213866,0.0,0,1,0,1,0,0,0
69864270,4.51333,0.0,0,1,0,1,0,0,0
70364223,4.503662,0.0,0,1,0,1,0,0,0
70865174,4.5294433,0.0,0,1,0,1,0,0,0
71364223,4.5294433,0.0,0,1,0,1,0,0,0
71874594,4.6035643,0.0,0,1,0,1,0,0,0
72374567,4.4907713,0.0,0,1,0,1,0,0,0
72874513,4.527832,0.0,0,1,0,1,0,0,0
73374484,4.611621,0.0,0,1,0,1,0,0,0
73874229,4.5955076,0.0,0,1,0,1,0,0,0
74374458,4.6245117,0.0,0,1,0,1,0,0,0
74874535,4.601953,0.0,0,1,0,1,0,0,0
75384224,4.539111,0.0,0,1,0,1,0,0,0
75884223,4.5310545,0.0,0,1,0,1,0,0,0
76385101,4.5165524,0.0,0,1,0,1,0,0,0
76884269,4.48916,0.0,0,1,0,1,0,0,0
77384223,4.5101075,0.0,0,1,0,1,0,0,0
77884224,4.524609,0.0,0,1,0,1,0,0,0
78384233,4.5213866,0.0,0,1,0,1,0,0,0
78885278,4.5294433,0.0,0,1,0,1,0,0,0
79394221,4.4956055,0.0,0,1,0,1,0,0,0
79894535,4.5407224,0.0,0,1,0,1,0,0,0
80394516,4.5294433,0.0,0,1,0,1,0,0,0
80895527,4.6083984,0.0,0,1,0,1,0,0,0
81394503,4.616455,0.0,0,1,0,1,0,0,0
81894233,4.6051755,0.0,0,1,0,1,0,0,0
82394627,4.5503907,0.0,0,1,0,1,0,0,0
82894490,4.6180663,0.0,0,1,0,1,0,0,0
83394529,4.590674,0.0,0,1,0,1,0,0,0
83904247,4.576172,0.0,0,1,0,1,0,0,0
84404224,4.568115,0.0,0,1,0,1,0,0,0
84904267,4.5987306,0.0,0,1,0,1,0,0,0
85404235,4.5439453,0.0,0,1,0,1,0,0,0
85904221,4.500439,0.0,0,1,0,1,0,0,0
86404224,4.526221,0.0,0,1,0,1,0,0,0
86904223,4.51333,0.0,0,1,0,1,0,0,0
87404383,4.518164,0.0,0,1,0,1,0,0,0
87904223,4.498828,0.0,0,1,0,1,0,0,0
88415617,4.4972167,0.0,0,1,0,1,0,0,0
88914647,4.5117188,0.0,0,1,0,1,0,0,0
89414518,4.51333,0.0,0,1,0,1,0,0,0
89924217,4.5310545,0.0,0,1,0,1,0,0,0
90424223,4.44082,0.0,0,1,0,1,0,0,0
90924286,4.6035643,0.0,0,1,0,1,0,0,0
91424221,4.4520993,0.0,0,1,0,1,0,0,0
91924274,4.616455,0.0,0,1,0,1,0,0,0
92424223,4.498828,0.0,0,1,0,1,0,0,0
92925942,4.6100097,0.0,0,1,0,1,0,0,0
93424224,4.548779,0.0,0,1,0,1,0,0,0
93924221,4.5165524,0.0,0,1,0,1,0,0,0
94424224,4.508496,0.0,0,1,0,1,0,0,0
94924223,4.6180663,0.0,0,1,0,1,0,0,0
95424426,4.5358887,0.0,0,1,0,1,0,0,0
95934541,4.5342774,0.0,0,1,0,1,0,0,0
96434574,4.526221,0.0,0,1,0,1,0,0,0
96934439,4.48916,0.0,0,1,0,1,0,0,0
97444221,4.5358887,0.0,0,1,0,1,0,0,0
97944272,4.51333,0.0,0,1,0,1,0,0,0
98445821,4.518164,0.0,0,1,0,1,0,0,0
98944229,4.526221,0.0,0,1,0,1,0,0,0
99444221,4.514941,0.0,0,1,0,1,0,0,0
99944223,4.498828,0.0,0,1,0,1,0,0,0
100444238,4.5294433,0.0,0,1,0,1,0,0,0
100945180,4.5793943,0.0,0,1,0,1,0,0,0
101444237,4.6100097,0.0,0,1,0,1,0,0,0
101944222,4.5713377,0.0,0,1,0,1,0,0,0
102444240,4.6100097,0.0,0,1,0,1,0,0,0
102955576,4.5955076,0.0,0,1,0,1,0,0,0
103454633,4.5938964,0.0,0,1,0,1,0,0,0
103954259,4.5326657,0.0,0,1,0,1,0,0,0
104454433,4.613232,0.0,0,1,0,1,0,0,0
104954493,4.552002,0.0,0,1,0,1,0,0,0
105454893,4.5165524,0.0,0,1,0,1,0,0,0
105954603,4.5165524,0.0,0,1,0,1,0,0,0
106454244,4.611621,0.0,0,1,0,1,0,0,0
106954233,4.5358887,0.0,0,1,0,1,0,0,0
107454525,4.522998,0.0,0,1,0,1,0,0,0
107955719,4.539111,0.0,0,1,0,1,0,0,0
108464234,4.522998,0.0,0,1,0,1,0,0,0
108964276,4.524609,0.0,0,1,0,1,0,0,0
109464230,4.5310545,0.0,0,1,0,1,0,0,0
109964222,4.4923825,0.0,0,1,0,1,0,0,0
