timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
30006287,30005225,800000.0,1.0,0.04699384,23.313946,0.0,255,0,6,4,4,5,0,0,1,1,45
30175264,0,1200.0,0.402909,0.033930473,0.30537426,0.0,0,0,0,0,1,0,0,1,0,1,34
30995345,30992046,800000.0,1.0,0.046894018,23.213535,0.0,255,0,6,4,4,5,0,0,1,1,45
31180329,0,1200.0,0.402909,0.033759966,0.4845548,0.0,0,0,0,0,1,0,0,1,0,1,34
31985822,31985264,800000.0,1.0,0.04695239,23.345327,0.0,255,0,6,4,4,5,0,0,1,1,45
32189103,0,1200.0,0.402909,0.06773475,0.2599819,0.0,0,0,0,0,1,0,0,1,0,1,34
32987604,32986534,800000.0,1.0,0.046925668,23.232199,0.0,255,0,6,4,4,5,0,0,1,1,45
33191650,0,1200.0,0.402909,0.0,0.33145148,0.0,0,0,0,0,1,0,0,1,0,1,34
33991640,33988458,800000.0,1.0,0.04693354,23.28303,0.0,255,0,6,4,4,5,0,0,1,1,45
34200939,0,1200.0,0.402909,0.067405276,0.6740528,0.0,0,0,0,0,1,0,0,1,0,1,34
34990907,34989272,800000.0,1.0,0.046894625,23.21683,0.0,255,0,6,4,4,5,0,0,1,1,45
35208877,0,1200.0,0.402909,0.03374636,0.30371726,0.0,0,0,0,0,1,0,0,1,0,1,34
35995389,34989272,800000.0,1.0,0.04687877,23.329668,0.0,255,0,6,4,4,5,0,0,1,1,45
36001721,36001691,800000.0,1.0,0.04687877,23.329668,0.0,255,0,6,4,4,5,0,0,1,1,45
36215340,0,1200.0,0.402909,0.0,0.52329296,0.0,0,0,0,0,1,0,0,1,0,1,34
36979463,36979360,800000.0,1.0,0.0679434,23.49343,0.0,255,0,6,4,4,5,0,0,1,1,45
37221987,0,1200.0,0.402909,0.06744352,0.28663495,0.0,0,0,0,0,1,0,0,1,0,1,34
37981815,36979360,800000.0,1.0,0.025995424,23.617842,0.0,255,0,6,4,4,5,0,0,1,1,45
37985990,37985244,800000.0,1.0,0.025995424,23.617842,0.0,255,0,6,4,4,5,0,0,1,1,45
38230267,0,1200.0,0.402909,0.033706315,0.30335683,0.0,0,0,0,0,1,0,0,1,0,1,34
38991541,38988187,800000.0,1.0,0.046864234,23.588663,0.0,255,0,6,4,4,5,0,0,1,1,45
39231815,0,1200.0,0.402909,0.03399398,0.65988314,0.0,0,0,0,0,1,0,0,1,0,1,34
39985247,39982764,800000.0,1.0,0.046961114,23.602455,0.0,255,0,6,4,4,5,0,0,1,1,45
40232382,0,1200.0,0.402909,0.0,0.30530328,0.0,0,0,0,0,1,0,0,1,0,1,34
40993045,40987296,800000.0,1.0,0.04698844,23.494219,0.0,255,0,6,4,4,5,0,0,1,1,45
41241106,0,1200.0,0.402909,0.063469894,0.5216432,0.0,0,0,0,0,1,0,0,1,0,1,34
41988504,41987473,800000.0,1.0,0.04688368,23.563538,0.0,255,0,6,4,4,5,0,0,1,1,45
42249312,0,1200.0,0.402909,0.0039688363,0.28674844,0.0,0,0,0,0,1,0,0,1,0,1,34
42989778,41987473,800000.0,1.0,0.046933353,23.540571,0.0,255,0,6,4,4,5,0,0,1,1,45
42995633,42993029,800000.0,1.0,0.046933353,23.540571,0.0,255,0,6,4,4,5,0,0,1,1,45
43250271,0,1200.0,0.402909,0.06797022,0.305866,0.0,0,0,0,0,1,0,0,1,0,1,34
43983303,43983048,800000.0,1.0,0.046933353,23.540571,0.0,255,0,6,4,4,5,0,0,1,1,45
44253295,0,1200.0,0.402909,0.03390449,0.68008417,0.0,0,0,0,0,1,0,0,1,0,1,34
44985174,43983048,800000.0,1.0,0.06788839,23.948627,0.0,255,0,6,4,4,5,0,0,1,1,45
44996999,44993160,800000.0,1.0,0.025968136,23.54411,0.0,255,0,6,4,4,5,0,0,1,1,45
45257227,0,1200.0,0.402909,0.033841014,0.30456913,0.0,0,0,0,0,1,0,0,1,0,1,34
45993306,45990001,800000.0,1.0,0.067858376,23.571804,0.0,255,0,6,4,4,5,0,0,1,1,45
46265209,0,1200.0,0.402909,0.033755608,0.5222191,0.0,0,0,0,0,1,0,0,1,0,1,34
46994096,46991275,800000.0,1.0,0.046943434,23.545628,0.0,255,0,6,4,4,5,0,0,1,1,45
47268104,0,1200.0,0.402909,0.03386815,0.32373965,0.0,0,0,0,0,1,0,0,1,0,1,34
47996515,47994828,800000.0,1.0,0.046807807,23.625992,0.0,255,0,6,4,4,5,0,0,1,1,45
48277182,0,1200.0,0.402909,0.033676904,0.30309212,0.0,0,0,0,0,1,0,0,1,0,1,34
