timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,health_flags,timeout_flags
6721378,0.0680973,0.0058529517,-0.016437588,0.99752617,-0.064733066,-0.0093699815,0.08122935,-0.006379669,0.0015884738,0.3622907,-1.1092566e-06,-1.8971983e-05,-5.0725653e-06,1.1020818e-05,1.0247047e-06,-6.303071e-05,0.3922903,-0.015722122,0.4203793,0.0,0.0,0.0,0.0,0.0,6.290059e-08,0.00023165047,0.0023895605,0.00090887956,0.0032966235,0.00329636,5.5164473e-06,0.3361659,0.33624247,0.30846286,0.028722247,0.02872255,0.19065036,5.0628637e-07,5.0610964e-07,3.0287237e-07,2.508873e-06,2.5088743e-06,2.5152308e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.002499253,0.0,0.00013546098,0.019636383,0.0,0.0,0.0,0.100137,0,0,0,228,24,0,0,0,0,0,0
6929357,0.073082924,0.0033042398,-0.017277192,0.9971708,-0.0049667293,0.013072796,0.115511976,-0.0036551165,-0.0004658965,0.41167757,2.7365718e-06,-2.8288143e-05,4.2020038e-06,1.4439786e-05,2.9576775e-06,-7.951757e-05,0.3922903,-0.015722122,0.4203793,0.0,0.0,0.0,0.0,0.0,5.4420983e-08,0.0002036499,0.0021872004,0.000870069,0.0029567592,0.0029563608,5.735009e-06,0.3486701,0.34864634,0.25693202,0.03212751,0.032127287,0.19170232,4.1344472e-07,4.1327922e-07,2.3420901e-07,2.4944563e-06,2.4944472e-06,2.4876347e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.017292023,0.0,7.480021e-05,0.014763942,0.0,0.0,0.0,0.100137,0,0,0,228,24,0,0,0,0,0,0
7130170,0.07344868,0.0027772926,-0.01461206,0.9971881,-0.045837734,-0.02617849,0.13157913,-0.004693914,-0.0071039014,0.47998342,8.818808e-06,-3.2031083e-05,-2.6770415e-06,1.50794995e-05,5.399591e-06,-0.00011106048,0.3922903,-0.015722122,0.4203793,0.0,0.0,0.0,0.0,0.0,4.2643077e-08,0.00017276987,0.001936687,0.0008428344,0.0024544513,0.0024542236,5.2503583e-06,0.3208616,0.32090336,0.21614021,0.033084664,0.033085126,0.18773873,3.26722e-07,3.2657735e-07,1.851405e-07,2.4882515e-06,2.4882195e-06,2.4524788e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.006845206,0.0,0.00013939435,0.033754125,0.0,0.0,0.0,0.100137,0,0,0,228,24,0,0,0,0,0,0
7330152,0.075842746,0.00090340554,-0.018019747,0.99695665,-0.043478847,-0.01629197,0.13620429,-0.0024604565,0.0007730647,0.52985823,1.3326601e-05,-3.709924e-05,-1.2953817e-05,1.5610252e-05,6.725589e-06,-0.00012761113,0.3922903,-0.015722122,0.4203793,0.0,0.0,0.0,0.0,0.0,4.0764043e-08,0.00018953627,0.0017776083,0.0008087385,0.002004101,0.0020037652,5.5180817e-06,0.27574393,0.2757756,0.18501316,0.032031998,0.03203193,0.18147759,2.5635057e-07,2.5622762e-07,1.4690596e-07,2.487111e-06,2.4870428e-06,2.4084109e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.022414478,0.0,4.60405e-05,0.0025740226,0.0,0.0,0.0,0.100137,0,0,0,228,24,0,0,0,0,0,0
7530962,0.07751975,0.0009134657,-0.01599972,0.996862,0.087637864,0.039971467,0.12650454,-0.0031499427,-0.002795681,0.5552832,1.7515173e-05,-4.4053286e-05,-1.807396e-05,1.5267804e-05,6.4733576e-06,-0.00012694218,0.3922903,-0.015722122,0.4203793,0.0,0.0,0.0,0.0,0.0,4.3880785e-08,0.00018972029,0.001846559,0.0007714579,0.0016934011,0.001693176,5.312285e-06,0.23951878,0.23948362,0.1627027,0.030931057,0.030931404,0.17491546,2.0424416e-07,2.0414168e-07,1.1742148e-07,2.4869073e-06,2.486789e-06,2.3560099e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.015573881,0.0,9.490805e-05,0.008720546,0.0,0.0,0.0,0.100137,0,0,0,228,24,0,0,0,0,0,0
7738946,0.082213655,0.00022315524,-0.018540738,0.9964422,0.0839274,-0.028240386,0.07442897,0.009017467,0.0017373858,0.52692986,1.4435752e-05,-3.762973e-05,-2.301309e-05,1.749163e-05,5.588964e-06,-7.303787e-05,0.3922903,-0.015722122,0.4203793,0.0,0.0,0.0,0.0,0.0,5.7953944e-08,0.00022592598,0.0019550037,0.00071650714,0.0014117117,0.001411491,5.6286112e-06,0.19900683,0.19898707,0.14398026,0.02752549,0.027524631,0.16384013,1.590033e-07,1.5891162e-07,9.248118e-08,2.4845224e-06,2.484342e-06,2.2858435e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.0054382617,0.0,0.00019119108,0.0056335195,0.0,0.0,0.0,0.100137,0,0,0,228,24,0,0,0,0,0,0
7938966,0.08823063,0.0007183377,-0.018782692,0.9959227,0.075427264,0.047399186,0.05323782,0.014569475,0.0027644525,0.5317561,1.182652e-05,-2.387044e-05,-2.8331624e-05,2.323733e-05,6.209634e-06,-6.2673884e-05,0.3922903,-0.015722122,0.4203793,0.0,0.0,0.0,0.0,0.0,5.5992906e-08,0.00022271507,0.0019044604,0.0006806522,0.0012451952,0.0012450409,6.1192927e-06,0.18009382,0.18007544,0.13398373,0.026724683,0.026723789,0.158635,1.271502e-07,1.2706931e-07,7.540396e-08,2.4792391e-06,2.4789997e-06,2.2129943e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.012732413,0.0,0.00030831678,0.006438829,0.0,0.0,0.0,0.100137,0,0,0,228,24,0,0,0,0,0,0
8139746,0.09267506,0.0015096634,-0.017401744,0.9955432,0.029590866,0.014877524,0.049690846,0.012313289,0.0015507287,0.5612293,7.695695e-06,-1.0702676e-05,-3.661138e-05,3.0264096e-05,9.107851e-06,-9.049662e-05,0.3922903,-0.015722122,0.4203793,0.0,0.0,0.0,0.0,0.0,4.7137384e-08,0.0001954451,0.0018622029,0.0006465341,0.0011033595,0.0011032871,6.3855136e-06,0.16540377,0.16539948,0.12738137,0.026051192,0.026050566,0.15422718,1.009861e-07,1.0091821e-07,6.208572e-08,2.470902e-06,2.4705992e-06,2.1295932e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.00785667,0.0,0.00025469114,0.006539777,0.0,0.0,0.0,0.100137,0,0,0,228,24,0,0,0,0,0,0
8339794,0.095884055,0.0022014796,-0.016903197,0.9952466,-0.024104921,0.014476197,0.049031183,0.009582983,0.0037888037,0.57356817,3.975951e-06,-1.6317371e-06,-3.7608424e-05,3.6707796e-05,1.167012e-05,-9.483237e-05,0.3922903,-0.015722122,0.4203793,0.0,0.0,0.0,0.0,0.0,5.407718e-08,0.0001969302,0.0017335281,0.00059819757,0.0009755354,0.00097549846,6.256908e-06,0.15285994,0.15287423,0.12316047,0.025611598,0.025611237,0.15091273,7.943029e-08,7.9376875e-08,5.058727e-08,2.4600276e-06,2.4596504e-06,2.035867e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.019395908,0.0,0.00020465934,0.0019642608,0.0,0.0,0.0,0.100137,0,0,0,228,24,0,0,0,0,0,0
8547777,0.09913808,0.0022088152,-0.01697993,0.9949264,0.02913846,0.015445696,0.012790619,0.004975107,0.005203047,0.55270696,9.317687e-08,1.5154202e-06,-4.070398e-05,3.9721494e-05,1.3645444e-05,-5.9151334e-05,0.3922903,-0.015722122,0.4203793,0.0,0.0,0.0,0.0,0.0,5.268105e-08,0.00019597315,0.0016349341,0.00057418627,0.0008623879,0.0008623359,6.3951943e-06,0.1444082,0.14440806,0.121228084,0.025923442,0.025923397,0.14997664,6.171339e-08,6.167555e-08,4.2465103e-08,2.4474284e-06,2.4469643e-06,1.9320717e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.0099730715,0.0,0.00010377364,0.008759779,0.0,0.0,0.0,0.100137,0,0,0,228,24,0,0,0,0,0,0
