timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
11798304,0.0,-0.0,2.8238351,0.0,0.15821119,0.0,0.0,0.9874053,0.0,0.0,-0.0,1,0,0,0,0,0
11898306,0.0,-0.0,2.8142295,0.0,0.16295168,0.0,0.0,0.9866341,0.0,0.0,-0.0,1,0,0,0,0,0
12002302,0.0,-0.0,2.811906,0.0,0.16409774,0.0,0.0,0.9864441,0.0,0.0,-0.0,1,0,0,0,0,0
12102361,0.0,-0.0,2.806481,0.0,0.16677296,0.0,0.0,0.98599535,0.0,0.0,-0.0,1,0,0,0,0,0
12202334,0.0,-0.0,2.809405,0.0,0.16533116,0.0,0.0,0.9862381,0.0,0.0,-0.0,1,0,0,0,0,0
12306296,0.0,-0.0,2.8007739,0.0,0.16958582,0.0,0.0,0.9855154,0.0,0.0,-0.0,1,0,0,0,0,0
12410325,0.0,-0.0,2.7956913,0.0,0.17208977,0.0,0.0,0.98508126,0.0,0.0,-0.0,1,0,0,0,0,0
12511109,0.0,-0.0,2.7993093,0.0,0.17030749,0.0,0.0,0.98539096,0.0,0.0,-0.0,1,0,0,0,0,0
12611118,0.0,-0.0,2.7929022,0.0,0.17346331,0.0,0.0,0.98484033,0.0,0.0,-0.0,1,0,0,0,0,0
12715905,0.0,-0.0,2.786387,0.0,0.17667064,0.0,0.0,0.98427004,0.0,0.0,-0.0,1,0,0,0,0,0
12815120,0.0,-0.0,2.7773466,0.0,0.18111789,0.0,0.0,0.9834614,0.0,0.0,-0.0,1,0,0,0,0,0
12919915,0.0,-0.0,2.7720473,0.0,0.18372309,0.0,0.0,0.98297805,0.0,0.0,-0.0,1,0,0,0,0,0
13019961,0.0,-0.0,2.75751,0.0,0.19086312,0.0,0.0,0.9816167,0.0,0.0,-0.0,1,0,0,0,0,0
13119909,0.0,-0.0,2.7386882,0.0,0.20009239,0.0,0.0,0.97977704,0.0,0.0,-0.0,1,0,0,0,0,0
13223946,0.0,-0.0,2.737372,0.0,0.2007372,0.0,0.0,0.97964513,0.0,0.0,-0.0,1,0,0,0,0,0
13323935,0.0,-0.0,2.735647,0.0,0.20158203,0.0,0.0,0.9794716,0.0,0.0,-0.0,1,0,0,0,0,0
13427905,0.0,-0.0,2.7321293,0.0,0.20330442,0.0,0.0,0.9791156,0.0,0.0,-0.0,1,0,0,0,0,0
13532713,0.0,-0.0,2.727165,0.0,0.20573413,0.0,0.0,0.9786079,0.0,0.0,-0.0,1,0,0,0,0,0
13636708,0.0,-0.0,2.7229145,0.0,0.20781347,0.0,0.0,0.9781685,0.0,0.0,-0.0,1,0,0,0,0,0
13736709,0.0,-0.0,2.7300768,0.0,0.20430917,0.0,0.0,0.9789064,0.0,0.0,-0.0,1,0,0,0,0,0
13837508,0.0,-0.0,2.729526,0.0,0.20457871,0.0,0.0,0.9788501,0.0,0.0,-0.0,1,0,0,0,0,0
13941512,0.0,-0.0,2.7246714,0.0,0.20695412,0.0,0.0,0.97835064,0.0,0.0,-0.0,1,0,0,0,0,0
14041516,0.0,-0.0,2.7306361,0.0,0.20403539,0.0,0.0,0.9789635,0.0,0.0,-0.0,1,0,0,0,0,0
14145558,0.0,-0.0,2.7299047,0.0,0.20439342,0.0,0.0,0.9788888,0.0,0.0,-0.0,1,0,0,0,0,0
14245534,0.0,-0.0,2.7293608,0.0,0.20465958,0.0,0.0,0.9788332,0.0,0.0,-0.0,1,0,0,0,0,0
14349509,0.0,-0.0,2.737938,0.0,0.20045994,0.0,0.0,0.9797019,0.0,0.0,-0.0,1,0,0,0,0,0
14453501,0.0,-0.0,2.753974,0.0,0.19259831,0.0,0.0,0.9812777,0.0,0.0,-0.0,1,0,0,0,0,0
14557500,0.0,-0.0,2.7482846,0.0,0.19538896,0.0,0.0,0.9807258,0.0,0.0,-0.0,1,0,0,0,0,0
14658303,0.0,-0.0,2.743721,0.0,0.19762625,0.0,0.0,0.9802774,0.0,0.0,-0.0,1,0,0,0,0,0
14759110,0.0,-0.0,2.7456,0.0,0.1967052,0.0,0.0,0.9804627,0.0,0.0,-0.0,1,0,0,0,0,0
14859899,0.0,-0.0,2.7465506,0.0,0.19623919,0.0,0.0,0.9805561,0.0,0.0,-0.0,1,0,0,0,0,0
14963104,0.0,-0.0,2.743551,0.0,0.19770958,0.0,0.0,0.9802606,0.0,0.0,-0.0,1,0,0,0,0,0
15063913,0.0,-0.0,2.739256,0.0,0.19981427,0.0,0.0,0.9798338,0.0,0.0,-0.0,1,0,0,0,0,0
15167108,0.0,-0.0,2.7392054,0.0,0.19983904,0.0,0.0,0.9798287,0.0,0.0,-0.0,1,0,0,0,0,0
15271115,0.0,-0.0,2.7347782,0.0,0.2020075,0.0,0.0,0.97938395,0.0,0.0,-0.0,1,0,0,0,0,0
15371113,0.0,-0.0,2.7309093,0.0,0.20390165,0.0,0.0,0.9789914,0.0,0.0,-0.0,1,0,0,0,0,0
15471165,0.0,-0.0,2.7202265,0.0,0.2091279,0.0,0.0,0.9778883,0.0,0.0,-0.0,1,0,0,0,0,0
15575903,0.0,-0.0,2.706962,0.0,0.21560882,0.0,0.0,0.9764798,0.0,0.0,-0.0,1,0,0,0,0,0
15675110,0.0,-0.0,2.70102,0.0,0.21850903,0.0,0.0,0.9758349,0.0,0.0,-0.0,1,0,0,0,0,0
15779912,0.0,-0.0,2.6853185,0.0,0.22616328,0.0,0.0,0.9740894,0.0,0.0,-0.0,1,0,0,0,0,0
15879935,0.0,-0.0,2.658349,0.0,0.23927763,0.0,0.0,0.9709512,0.0,0.0,-0.0,1,0,0,0,0,0
15979916,0.0,-0.0,2.6477509,0.0,0.24441941,0.0,0.0,0.9696696,0.0,0.0,-0.0,1,0,0,0,0,0
16080722,0.0,-0.0,2.6462216,0.0,0.24516076,0.0,0.0,0.9694824,0.0,0.0,-0.0,1,0,0,0,0,0
16183911,0.0,-0.0,2.6429992,0.0,0.2467225,0.0,0.0,0.96908617,0.0,0.0,-0.0,1,0,0,0,0,0
16285717,0.0,-0.0,2.6304169,0.0,0.25281423,0.0,0.0,0.9675148,0.0,0.0,-0.0,1,0,0,0,0,0
16388700,0.0,-0.0,2.6291332,0.0,0.25343516,0.0,0.0,0.9673524,0.0,0.0,-0.0,1,0,0,0,0,0
16488706,0.0,-0.0,2.632711,0.0,0.2517043,0.0,0.0,0.9678042,0.0,0.0,-0.0,1,0,0,0,0,0
16588709,0.0,-0.0,2.6399634,0.0,0.24819319,0.0,0.0,0.96871054,0.0,0.0,-0.0,1,0,0,0,0,0
16688750,0.0,-0.0,2.6543908,0.0,0.2411988,0.0,0.0,0.97047573,0.0,0.0,-0.0,1,0,0,0,0,0
16792733,0.0,-0.0,2.6622143,0.0,0.23740071,0.0,0.0,0.9714118,0.0,0.0,-0.0,1,0,0,0,0,0
16893557,0.0,-0.0,2.6650558,0.0,0.23602036,0.0,0.0,0.9717481,0.0,0.0,-0.0,1,0,0,0,0,0
16997530,0.0,-0.0,2.664225,0.0,0.23642392,0.0,0.0,0.97165,0.0,0.0,-0.0,1,0,0,0,0,0
17098298,0.0,-0.0,2.6610062,0.0,0.23798743,0.0,0.0,0.97126824,0.0,0.0,-0.0,1,0,0,0,0,0
17197661,0.0,-0.0,2.6654732,0.0,0.2358175,0.0,0.0,0.97179735,0.0,0.0,-0.0,1,0,0,0,0,0
