timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
8427649,191.407,28.34,99047.0,1.1768422
8437711,191.49153,28.34,99046.0,1.1768303
8448028,191.7452,28.34,99043.0,1.1767946
8468164,191.49153,28.34,99046.0,1.1768303
8478474,192.00151,28.34,99040.0,1.176759
8488538,191.82976,28.34,99042.0,1.1767828
8508835,191.66064,28.33,99044.0,1.1768066
8518886,191.7452,28.33,99043.0,1.1767946
8528953,191.7452,28.33,99043.0,1.1767946
8549077,192.08606,28.33,99038.99,1.1767471
8559158,191.7452,28.33,99043.0,1.1767946
8569267,192.17061,28.33,99038.0,1.1767353
8589657,192.00151,28.33,99040.0,1.176759
8599706,192.17061,28.33,99038.0,1.1767353
8609766,191.82976,28.33,99042.0,1.1767828
8630061,191.7452,28.32,99043.0,1.1767946
8640129,191.82976,28.32,99042.0,1.1767828
8650391,192.17061,28.32,99038.0,1.1767353
8670486,191.57611,28.32,99044.99,1.1768184
8680540,191.7452,28.32,99043.0,1.1767946
8690589,191.9143,28.32,99041.0,1.1767709
8710929,191.82976,28.32,99042.0,1.1767828
8720990,192.00151,28.32,99040.0,1.176759
8731216,191.7452,28.32,99043.0,1.1767946
8751324,191.66064,28.32,99044.0,1.1768066
8761628,191.49153,28.32,99046.0,1.1768303
8771678,192.17061,28.32,99038.0,1.1767353
8791807,192.08606,28.32,99038.99,1.1767471
8801865,191.66064,28.32,99044.0,1.1768066
8811987,192.08606,28.32,99038.99,1.1767471
8832085,191.7452,28.31,99043.0,1.1767946
8842145,191.7452,28.31,99043.0,1.1767946
8852196,191.23788,28.31,99049.0,1.1768659
8872434,191.82976,28.32,99042.0,1.1767828
8882486,191.9143,28.32,99041.0,1.1767709
8892539,192.00151,28.32,99040.0,1.176759
8912844,191.7452,28.31,99043.0,1.1767946
8922896,191.9143,28.31,99041.0,1.1767709
8932969,192.08606,28.31,99038.99,1.1767471
8953336,191.32243,28.31,99048.0,1.1768541
8963388,191.407,28.31,99047.0,1.1768422
8973611,192.17061,28.31,99038.0,1.1767353
8993760,191.7452,28.31,99043.0,1.1767946
9003806,192.17061,28.31,99038.0,1.1767353
9013860,192.33972,28.31,99036.0,1.1767116
9034100,191.9143,28.31,99041.0,1.1767709
9044158,191.7452,28.31,99043.0,1.1767946
9054397,191.7452,28.31,99043.0,1.1767946
9074492,191.57611,28.31,99044.99,1.1768184
9084545,191.49153,28.31,99046.0,1.1768303
9094594,191.32243,28.31,99048.0,1.1768541
9114892,191.66064,28.31,99044.0,1.1768066
9124946,191.66064,28.31,99044.0,1.1768066
9135230,191.7452,28.31,99043.0,1.1767946
9155385,191.66064,28.3,99044.0,1.1768066
9165652,192.08606,28.3,99038.99,1.1767471
9175708,191.9143,28.3,99041.0,1.1767709
9196107,191.32243,28.3,99048.0,1.1768541
9206421,192.25517,28.3,99037.0,1.1767234
9216472,191.82976,28.3,99042.0,1.1767828
9236827,191.7452,28.3,99043.0,1.1767946
9246876,191.57611,28.3,99044.99,1.1768184
9256967,191.9143,28.3,99041.0,1.1767709
9277321,192.17061,28.3,99038.0,1.1767353
9287384,191.7452,28.3,99043.0,1.1767946
9297624,192.33972,28.3,99036.0,1.1767116
9317736,191.82976,28.289999,99042.0,1.1767828
9328060,191.9143,28.289999,99041.0,1.1767709
9338110,192.00151,28.289999,99040.0,1.176759
9358428,191.57611,28.289999,99044.99,1.1768184
9368479,191.66064,28.289999,99044.0,1.1768066
9378553,191.9143,28.289999,99041.0,1.1767709
9398689,191.66064,28.289999,99044.0,1.1768066
9408785,192.33972,28.289999,99036.0,1.1767116
9418836,191.82976,28.289999,99042.0,1.1767828
9439306,191.9143,28.289999,99041.0,1.1767709
9449648,191.66064,28.289999,99044.0,1.1768066
9459747,191.32243,28.289999,99048.0,1.1768541
9480049,191.407,28.289999,99047.0,1.1768422
9490112,191.407,28.289999,99047.0,1.1768422
9500165,191.57611,28.289999,99044.99,1.1768184
9520471,191.49153,28.289999,99046.0,1.1768303
9530537,191.32243,28.289999,99048.0,1.1768541
9540610,191.32243,28.289999,99048.0,1.1768541
9560785,191.82976,28.279999,99042.0,1.1767828
9570840,192.08606,28.279999,99038.99,1.1767471
9580891,192.00151,28.279999,99040.0,1.176759
9600998,192.17061,28.289999,99038.0,1.1767353
9611231,191.82976,28.289999,99042.0,1.1767828
9621323,191.49153,28.289999,99046.0,1.1768303
9641626,191.49153,28.279999,99046.0,1.1768303
9651676,192.00151,28.279999,99040.0,1.176759
9661726,192.08606,28.279999,99038.99,1.1767471
9682068,191.57611,28.279999,99044.99,1.1768184
9692119,191.32243,28.279999,99048.0,1.1768541
9702458,191.66064,28.279999,99044.0,1.1768066
9722553,191.9143,28.279999,99041.0,1.1767709
9732607,191.7452,28.279999,99043.0,1.1767946
9742656,191.7452,28.279999,99043.0,1.1767946
9762841,191.7452,28.279999,99043.0,1.1767946
9772890,191.7452,28.279999,99043.0,1.1767946
9782943,191.7452,28.279999,99043.0,1.1767946
9803230,191.23788,28.269999,99049.0,1.1768659
9813324,191.9143,28.269999,99041.0,1.1767709
9823373,192.33972,28.269999,99036.0,1.1767116
9843474,191.82976,28.279999,99042.0,1.1767828
9853623,191.49153,28.279999,99046.0,1.1768303
9863673,192.08606,28.279999,99038.99,1.1767471
9884037,191.7452,28.269999,99043.0,1.1767946
9894085,191.9143,28.269999,99041.0,1.1767709
9904170,191.82976,28.269999,99042.0,1.1767828
9924545,191.82976,28.269999,99042.0,1.1767828
9934602,191.82976,28.269999,99042.0,1.1767828
9944867,191.9143,28.269999,99041.0,1.1767709
9965009,191.9143,28.269999,99041.0,1.1767709
9975231,191.32243,28.269999,99048.0,1.1768541
9985337,192.08606,28.269999,99038.99,1.1767471
10005446,191.9143,28.269999,99041.0,1.1767709
10015504,191.9143,28.269999,99041.0,1.1767709
10025584,192.25517,28.269999,99037.0,1.1767234
10045736,191.9143,28.269999,99041.0,1.1767709
10056083,191.407,28.269999,99047.0,1.1768422
10066137,191.7452,28.269999,99043.0,1.1767946
10086484,191.66064,28.269999,99044.0,1.1768066
10096537,191.66064,28.269999,99044.0,1.1768066
10106587,191.82976,28.269999,99042.0,1.1767828
10126883,191.23788,28.269999,99049.0,1.1768659
10136935,191.32243,28.269999,99048.0,1.1768541
10147233,191.7452,28.269999,99043.0,1.1767946
10167367,191.49153,28.269999,99046.0,1.1768303
10177443,191.15334,28.269999,99050.0,1.1768779
10187493,191.9143,28.269999,99041.0,1.1767709
10207694,191.49153,28.26,99046.0,1.1768303
10217753,191.82976,28.26,99042.0,1.1767828
10228023,191.57611,28.26,99044.99,1.1768184
10248177,191.23788,28.269999,99049.0,1.1768659
10258430,191.7452,28.269999,99043.0,1.1767946
10268478,191.7452,28.269999,99043.0,1.1767946
10288784,191.407,28.26,99047.0,1.1768422
10298852,191.49153,28.26,99046.0,1.1768303
10308904,191.57611,28.26,99044.99,1.1768184
10329335,191.32243,28.26,99048.0,1.1768541
10339385,192.08606,28.26,99038.99,1.1767471
10349433,191.66064,28.26,99044.0,1.1768066
10369587,191.9143,28.26,99041.0,1.1767709
10379637,191.7452,28.26,99043.0,1.1767946
10389688,191.82976,28.26,99042.0,1.1767828
10409787,191.32243,28.26,99048.0,1.1768541
10420060,191.57611,28.26,99044.99,1.1768184
10430117,191.23788,28.26,99049.0,1.1768659
10450210,191.407,28.26,99047.0,1.1768422
10460264,191.49153,28.26,99046.0,1.1768303
10470417,191.7452,28.26,99043.0,1.1767946
10490531,191.9143,28.26,99041.0,1.1767709
10500779,191.57611,28.26,99044.99,1.1768184
10510827,192.17061,28.26,99038.0,1.1767353
10531241,191.407,28.26,99047.0,1.1768422
10541375,191.9143,28.26,99041.0,1.1767709
10551426,191.57611,28.26,99044.99,1.1768184
10571693,191.66064,28.25,99044.0,1.1768066
10581748,191.7452,28.25,99043.0,1.1767946
10592018,191.57611,28.25,99044.99,1.1768184
10612126,192.17061,28.25,99038.0,1.1767353
10622207,192.00151,28.25,99040.0,1.176759
10632258,191.57611,28.25,99044.99,1.1768184
10652506,191.9143,28.25,99041.0,1.1767709
10662558,192.00151,28.25,99040.0,1.176759
10672864,192.00151,28.25,99040.0,1.176759
10692961,191.66064,28.25,99044.0,1.1768066
10703248,191.23788,28.25,99049.0,1.1768659
10713326,191.57611,28.25,99044.99,1.1768184
10733608,192.17061,28.25,99038.0,1.1767353
10743659,191.32243,28.25,99048.0,1.1768541
10753708,192.08606,28.25,99038.99,1.1767471
10774072,191.9143,28.24,99041.0,1.1767709
10784137,191.82976,28.24,99042.0,1.1767828
10794240,192.00151,28.24,99040.0,1.176759
10814444,191.82976,28.25,99042.0,1.1767828
10824494,192.00151,28.25,99040.0,1.176759
10834544,191.57611,28.25,99044.99,1.1768184
10854870,191.57611,28.24,99044.99,1.1768184
10864919,191.23788,28.24,99049.0,1.1768659
10875226,192.00151,28.24,99040.0,1.176759
10895380,191.49153,28.24,99046.0,1.1768303
10905623,192.00151,28.24,99040.0,1.176759
10915700,191.82976,28.24,99042.0,1.1767828
10936019,191.66064,28.24,99044.0,1.1768066
10946068,191.7452,28.24,99043.0,1.1767946
10956128,191.9143,28.24,99041.0,1.1767709
10976485,191.7452,28.24,99043.0,1.1767946
10986540,191.32243,28.24,99048.0,1.1768541
10996847,192.08606,28.24,99038.99,1.1767471
11016942,191.57611,28.24,99044.99,1.1768184
11027055,191.82976,28.24,99042.0,1.1767828
11037218,191.66064,28.24,99044.0,1.1768066
11057326,191.57611,28.24,99044.99,1.1768184
11067377,191.82976,28.24,99042.0,1.1767828
11077664,191.9143,28.24,99041.0,1.1767709
11097765,192.00151,28.24,99040.0,1.176759
11108067,191.7452,28.24,99043.0,1.1767946
11118126,191.9143,28.24,99041.0,1.1767709
11138430,191.57611,28.24,99044.99,1.1768184
11148484,191.66064,28.24,99044.0,1.1768066
11158547,191.32243,28.24,99048.0,1.1768541
11178928,191.7452,28.24,99043.0,1.1767946
11188980,191.66064,28.24,99044.0,1.1768066
11199032,191.49153,28.24,99046.0,1.1768303
11219248,191.407,28.23,99047.0,1.1768422
11229336,191.82976,28.23,99042.0,1.1767828
11239391,191.66064,28.23,99044.0,1.1768066
11259669,192.17061,28.23,99038.0,1.1767353
11269737,191.82976,28.23,99042.0,1.1767828
11280045,191.57611,28.23,99044.99,1.1768184
11300180,191.32243,28.24,99048.0,1.1768541
11310418,191.32243,28.24,99048.0,1.1768541
11320472,191.407,28.24,99047.0,1.1768422
11340885,191.9143,28.23,99041.0,1.1767709
11350938,191.9143,28.23,99041.0,1.1767709
11361004,192.08606,28.23,99038.99,1.1767471
11381143,191.7452,28.23,99043.0,1.1767946
11391200,191.407,28.23,99047.0,1.1768422
11401298,191.9143,28.23,99041.0,1.1767709
11421735,191.9143,28.23,99041.0,1.1767709
11432013,191.66064,28.23,99044.0,1.1768066
11442062,191.407,28.23,99047.0,1.1768422
11462426,191.407,28.23,99047.0,1.1768422
11472474,191.407,28.23,99047.0,1.1768422
11482547,191.7452,28.23,99043.0,1.1767946
11502879,191.57611,28.23,99044.99,1.1768184
11512930,191.7452,28.23,99043.0,1.1767946
11523206,192.08606,28.23,99038.99,1.1767471
11543323,191.9143,28.23,99041.0,1.1767709
11553725,191.82976,28.23,99042.0,1.1767828
11563871,191.49153,28.23,99046.0,1.1768303
11584115,191.82976,28.23,99042.0,1.1767828
11594431,191.9143,28.23,99041.0,1.1767709
11604517,191.82976,28.23,99042.0,1.1767828
11624906,191.82976,28.23,99042.0,1.1767828
11635251,192.00151,28.23,99040.0,1.176759
11645325,192.17061,28.23,99038.0,1.1767353
11665769,191.7452,28.23,99043.0,1.1767946
11675827,192.00151,28.23,99040.0,1.176759
11685875,191.7452,28.23,99043.0,1.1767946
11706033,192.08606,28.22,99038.99,1.1767471
