timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
36540543,0.0,0.0,0.0,1
36941353,0.0,0.0,0.0,1
37342166,0.009712375,0.012898527,0.0027732756,0
37742943,0.016057415,0.020880241,0.005328239,0
38142955,0.024161229,0.034844734,0.0053290413,0
38543743,0.034935784,0.0467328,0.003109107,0
38938145,0.044016734,0.057588663,0.0055188662,0
39338161,0.050609995,0.077908725,0.0074358643,0
39746943,0.06268593,0.09972327,0.0065871575,0
40146946,0.07430036,0.10823319,0.007499089,0
40538943,0.0807469,0.13274702,0.005276416,0
40938943,0.0865472,0.14469014,0.0056308378,0
41339748,0.08874311,0.14879103,0.0060290666,0
41740570,0.08874311,0.14879103,0.0060290666,1
42141343,0.08874311,0.14879103,0.0060290666,1
42533359,0.08874311,0.14879103,0.0060290666,1
42942143,0.08874311,0.14879103,0.0060290666,1
43335777,0.08874311,0.14879103,0.0060290666,1
43743743,0.08874311,0.14879103,0.0060290666,1
44143753,0.08874311,0.14879103,0.0060290666,1
44544543,0.08874311,0.14879103,0.0060290666,1
44945382,0.08874311,0.14879103,0.0060290666,1
45354149,0.08874311,0.14879103,0.0060290666,1
45746153,0.08874311,0.14879103,0.0060290666,1
46146943,0.08874311,0.14879103,0.0060290666,1
46539743,0.08874311,0.14879103,0.0060290666,1
46947743,0.08874311,0.14879103,0.0060290666,1
47348588,0.08874311,0.14879103,0.0060290666,1
47741366,0.08874311,0.14879103,0.0060290666,1
48142143,0.08874311,0.14879103,0.0060290666,1
48542147,0.08874311,0.14879103,0.0060290666,1
48958958,0.08874311,0.14879103,0.0060290666,1
49351743,0.08874311,0.14879103,0.0060290666,1
49743747,0.08874311,0.14879103,0.0060290666,1
50144553,0.08874311,0.14879103,0.0060290666,1
50545382,0.08874311,0.14879103,0.0060290666,1
50946143,0.08874311,0.14879103,0.0060290666,1
51346998,0.08874311,0.14879103,0.0060290666,1
51746943,0.08874311,0.14879103,0.0060290666,1
52147743,0.08874311,0.14879103,0.0060290666,1
52548543,0.08874311,0.14879103,0.0060290666,1
52949382,0.08874311,0.14879103,0.0060290666,1
53341343,0.08874311,0.14879103,0.0060290666,1
53742143,0.08874311,0.14879103,0.0060290666,1
54150943,0.08874311,0.14879103,0.0060290666,1
54550943,0.08874311,0.14879103,0.0060290666,1
54959750,0.08874311,0.14879103,0.0060290666,1
55344548,0.08874311,0.14879103,0.0060290666,1
55752543,0.08874311,0.14879103,0.0060290666,1
56145388,0.08874311,0.14879103,0.0060290666,1
56546143,0.08874311,0.14879103,0.0060290666,1
56946943,0.08874311,0.14879103,0.0060290666,1
57346943,0.08874311,0.14879103,0.0060290666,1
57739777,0.08874311,0.14879103,0.0060290666,1
58140543,0.08874311,0.14879103,0.0060290666,1
58548543,0.08874311,0.14879103,0.0060290666,1
58941343,0.08874311,0.14879103,0.0060290666,1
59350143,0.08874311,0.14879103,0.0060290666,1
59742943,0.08874311,0.14879103,0.0060290666,1
60142943,0.08874311,0.14879103,0.0060290666,1
60543743,0.08874311,0.14879103,0.0060290666,1
60944543,0.08874311,0.14879103,0.0060290666,1
61144580,0.08874311,0.14879103,0.0060290666,1
61337343,0.08874311,0.14879103,0.0060290666,1
61529357,0.08874311,0.14879103,0.0060290666,1
61737358,0.08874311,0.14879103,0.0060290666,1
61946143,0.08874311,0.14879103,0.0060290666,1
62146153,0.08874311,0.14879103,0.0060290666,1
62338943,0.08874311,0.14879103,0.0060290666,1
62746943,0.08874311,0.14879103,0.0060290666,1
63147777,0.08874311,0.14879103,0.0060290666,1
63540552,0.08874311,0.14879103,0.0060290666,1
63940543,0.08874311,0.14879103,0.0060290666,1
64341345,0.08874311,0.14879103,0.0060290666,1
64758143,0.08874311,0.14879103,0.0060290666,1
65142971,0.08874311,0.14879103,0.0060290666,1
65542991,0.08874311,0.14879103,0.0060290666,1
65935743,0.08874311,0.14879103,0.0060290666,1
66336543,0.08874311,0.14879103,0.0060290666,1
66737346,0.08874311,0.14879103,0.0060290666,1
67145369,0.08874311,0.14879103,0.0060290666,1
67538143,0.08874311,0.14879103,0.0060290666,1
67930943,0.08874311,0.14879103,0.0060290666,1
68338943,0.08874311,0.14879103,0.0060290666,1
68755743,0.08874311,0.14879103,0.0060290666,1
69148592,0.08874311,0.14879103,0.0060290666,1
69540550,0.08874311,0.14879103,0.0060290666,1
69941343,0.08874311,0.14879103,0.0060290666,1
70350143,0.08874311,0.14879103,0.0060290666,1
70750993,0.08874311,0.14879103,0.0060290666,1
71142943,0.08874311,0.14879103,0.0060290666,1
71543755,0.08874311,0.14879103,0.0060290666,1
71936543,0.08874311,0.14879103,0.0060290666,1
72337343,0.08874311,0.14879103,0.0060290666,1
72737343,0.08874311,0.14879103,0.0060290666,1
73138143,0.08874311,0.14879103,0.0060290666,1
73538943,0.08874311,0.14879103,0.0060290666,1
73939753,0.08874311,0.14879103,0.0060290666,1
74339743,0.08874311,0.14879103,0.0060290666,1
74740546,0.08874311,0.14879103,0.0060290666,1
75141343,0.08874311,0.14879103,0.0060290666,1
75533343,0.08874311,0.14879103,0.0060290666,1
75934143,0.08874311,0.14879103,0.0060290666,1
76334985,0.08874311,0.14879103,0.0060290666,1
76735743,0.08874311,0.14879103,0.0060290666,1
77143743,0.08874311,0.14879103,0.0060290666,1
77536543,0.08874311,0.14879103,0.0060290666,1
77945382,0.08874311,0.14879103,0.0060290666,1
78338150,0.08874311,0.14879103,0.0060290666,1
78738143,0.08874311,0.14879103,0.0060290666,1
79154943,0.08874311,0.14879103,0.0060290666,1
79539743,0.08874311,0.14879103,0.0060290666,1
79963743,0.08874311,0.14879103,0.0060290666,1
80356549,0.08874311,0.14879103,0.0060290666,1
80773343,0.08874311,0.14879103,0.0060290666,1
81150224,0.08874311,0.14879103,0.0060290666,1
81550943,0.08874311,0.14879103,0.0060290666,1
