timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
9191043,9190946,0.0045790975,0.009501443,-0.040294643
9212682,9212578,0.009626506,0.007091922,-0.021399517
9234296,9234179,0.033239357,-0.021271707,-0.0060391068
9255854,9255758,-0.0027421082,0.010633365,-0.0031222873
9276005,9275797,-0.02119812,0.010284825,0.0075998884
9295840,9295745,-0.012764806,-0.0086016,0.009212648
9319049,9318944,0.055631198,-0.0082418425,-0.014425628
9343046,9342948,0.035763912,0.022318533,-0.027951173
9363046,9362946,-0.03599515,0.015754713,-0.0008299975
9383883,9383772,-0.03766875,-0.003609069,0.023248067
9406246,9406151,0.022379009,-0.0072656716,-0.020409256
9430239,9430144,0.02858083,0.009874672,-0.08942915
9451075,9450969,-0.005718769,0.026256999,-0.09419081
9471853,9471746,-0.030876841,0.01187601,-0.026410144
9491848,9491746,0.0074979644,0.01914597,0.019444406
9513447,9513343,0.020920875,0.018939428,0.009428808
9535092,9534976,-0.029389335,-0.0011726434,-0.00755993
9555841,9555746,-0.036230642,-0.008191478,-0.03889429
9575846,9575744,0.001804767,-0.006232443,-0.039119367
9599843,9599746,0.060360886,0.0008236616,-0.04415884
9623052,9622946,0.029055864,0.014873156,-0.039481256
9643057,9642946,-0.028964657,0.0065962756,-0.0002551633
9663865,9663746,0.040686473,-0.0021909755,0.01343399
9687047,9686946,0.08177622,0.026296537,-0.0353897
9710252,9710147,0.004550081,0.008209095,-0.07055297
9731043,9730946,-0.052184694,0.005172146,-0.04706814
9751839,9751744,-0.04488002,-0.010525128,0.0416572
9771848,9771753,-0.019262336,-0.018322516,0.060328517
9793442,9793345,0.015813982,0.029620292,-0.0026786646
9815841,9815744,0.024667718,0.020614244,-0.11814481
9839044,9838944,0.048105683,0.019222023,-0.1709503
9860653,9860543,0.0407388,0.01669699,-0.1293393
9880641,9880546,-0.020161835,0.0008563315,-0.016242262
9904694,9904575,-0.06368019,0.011570428,0.094587184
9927876,9927770,-0.026601614,-0.027282003,0.099322334
9947853,9947745,0.011872325,-0.026097566,0.009229623
9968712,9968601,0.004077085,0.0004930119,-0.108721375
9988676,9988571,0.025245093,0.028494379,-0.15418747
10011050,10010948,0.07053681,0.007832294,-0.10974929
10031856,10031755,0.04034604,0.013455846,-0.028113414
10052777,10052601,0.017858554,0.01567881,0.003176561
10072676,10072570,0.017549366,0.037679944,-0.056719635
10096674,10096574,0.041421816,0.02416275,-0.16632105
10120659,10120557,0.005570679,-0.015722984,-0.16156125
