timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
12920257,0,0,187,0,56,61,66
13101456,0,0,187,0,67,59,66
13261977,0,0,187,0,68,58,66
13799313,0,0,187,0,75,60,66
14255606,0,0,161,54,96,58,70
15232284,0,0,172,63,98,61,67
16255423,0,0,176,63,91,52,67
17176150,0,0,180,63,98,57,67
18325821,0,0,183,63,98,61,67
19301973,0,0,184,73,100,61,71
20186800,0,0,185,73,98,61,67
21336472,0,0,186,73,91,59,67
22169910,0,0,186,73,100,60,67
23184312,0,0,186,73,98,61,67
24138588,0,0,186,73,98,57,65
25243484,0,0,186,73,100,59,69
26408974,0,0,187,73,91,58,69
27094533,0,0,187,73,98,58,69
28243329,0,0,187,73,99,61,65
29228372,0,0,187,73,100,56,65
30217180,0,0,187,73,100,57,65
31252978,0,0,187,73,95,61,65
32161728,0,0,187,73,100,57,65
33331410,0,0,187,73,100,61,67
34096177,0,0,187,73,98,58,67
35158485,0,0,187,73,100,61,67
36319428,0,0,187,73,95,60,67
37134032,0,0,187,73,100,60,68
38158022,0,0,187,73,100,59,68
39087529,0,0,187,73,100,59,68
40249973,0,0,165,73,100,61,68
41240526,0,0,173,73,100,60,68
42312382,0,0,179,73,98,59,71
43227503,0,0,182,73,100,60,71
44151028,0,0,183,73,98,61,71
45202892,0,0,184,73,98,60,71
46242014,0,0,185,73,100,59,71
47168108,0,0,185,73,98,58,70
48134017,0,0,186,73,100,63,70
49233799,0,0,186,73,100,58,70
50157890,0,0,187,73,100,60,70
51149999,0,0,187,73,100,61,70
52117986,0,0,187,73,98,60,70
53158900,0,0,187,73,100,59,70
54489990,0,0,187,73,98,59,70
55234850,0,0,187,73,96,61,70
56220975,0,0,187,73,98,58,67
57304845,0,0,187,73,97,60,67
58223895,0,0,187,73,100,59,67
59136312,0,0,187,73,100,59,66
60182076,0,0,187,73,98,59,65
61223668,0,0,187,73,98,57,65
62141121,0,0,187,73,100,58,65
63302702,0,0,187,73,94,58,65
64215483,0,0,187,73,98,60,68
65132344,0,0,187,73,98,60,67
66290655,0,0,163,73,100,59,67
67092970,0,0,171,73,100,62,67
68133185,0,0,175,73,98,58,67
69287521,0,0,179,73,98,63,64
70213059,0,0,183,73,100,58,69
71145303,0,0,184,73,98,58,69
72302637,0,0,185,73,98,58,69
73223319,0,0,186,73,94,59,67
74206750,0,0,186,73,100,54,67
75111968,0,0,186,73,100,61,67
76205973,0,0,187,73,100,61,67
77135435,0,0,187,73,100,66,67
78102699,0,0,187,73,100,62,66
79209998,0,0,187,73,99,60,67
80140010,0,0,187,73,100,59,67
81288218,0,0,187,73,98,62,67
82205995,0,0,187,73,98,60,69
83130575,0,0,187,73,94,59,69
84284974,0,0,187,73,100,60,70
85202532,0,0,187,73,100,59,70
86128980,0,0,187,73,100,60,70
87288289,0,0,187,73,98,61,69
88436224,0,0,187,73,81,63,67
89128218,0,0,187,73,100,59,67
90159406,0,0,187,73,98,61,67
91192138,0,0,187,73,98,56,67
92133002,0,0,187,74,98,59,65
93286697,0,0,187,76,86,59,69
94195504,0,0,187,76,100,59,69
95124986,0,0,187,76,98,59,69
96274807,0,0,187,79,98,61,67
97204970,0,0,187,79,100,59,68
98186249,0,0,187,79,90,59,68
99278045,0,0,187,79,98,61,68
100191683,0,0,187,79,100,60,68
101394725,0,0,187,72,96,61,69
102271466,0,0,187,69,100,60,71
103204160,0,0,160,69,87,63,71
104113122,0,0,169,69,100,61,71
105155653,0,0,176,73,100,57,68
106190049,0,0,148,73,98,61,68
107355412,0,0,165,73,96,59,68
108615490,0,0,178,73,92,62,68
109192169,0,0,178,73,98,60,68
110110747,0,0,182,73,100,60,65
111263680,0,0,183,73,100,59,68
112177067,0,0,185,73,100,58,68
113582772,0,0,186,73,94,58,68
114256064,0,0,186,73,98,59,68
115182105,0,0,187,73,100,63,71
116336074,0,0,187,73,100,61,69
117261977,0,0,187,73,98,60,69
118245841,0,0,187,73,98,60,69
119336081,0,0,187,73,97,60,68
120145973,0,0,187,73,100,59,66
121294096,0,0,187,73,98,60,66
122328419,0,0,187,73,100,60,66
123549999,0,0,187,73,96,54,66
124418803,0,0,187,71,98,57,70
125107617,0,0,187,71,100,62,68
126251386,0,0,187,71,100,57,68
127174018,0,0,187,71,100,61,68
128361886,0,0,187,71,98,60,72
129251259,0,0,187,71,95,57,72
130170627,0,0,187,71,100,60,73
131320326,0,0,187,71,100,59,73
132254764,0,0,187,71,100,56,73
133400612,0,0,187,73,98,59,66
134125979,0,0,165,73,100,59,72
135154571,0,0,152,73,100,58,72
136172907,0,0,161,73,100,60,72
137317675,0,0,170,73,98,60,72
138303522,0,0,177,73,98,54,68
139168998,0,0,179,73,95,57,71
140312145,0,0,183,73,91,59,71
141240975,0,0,184,73,100,60,71
142165974,0,0,185,73,100,59,66
143309940,0,0,186,73,98,60,67
144234886,0,0,187,73,95,62,67
145161690,0,0,187,73,94,60,67
146108203,0,0,187,73,100,59,67
147237214,0,0,187,73,98,65,67
148427435,0,0,187,73,98,58,67
149316102,0,0,187,73,100,58,67
150116976,0,0,187,73,95,56,67
151154035,0,0,187,73,100,55,67
